id,outlet_id,priority_score,transaction_score,engagement_score,product_adoption_score,risk_score,contributing_factors,scored_at
27134210-027f-5eca-9fba-9dea8f5a5612,b9f302ee-4c36-582b-92c9-ed71368ecdc4,36.6,21.7,57.6,42.4,31.6,competitor_risk,2025-07-30T00:00:00
825ff64c-9664-53e8-92a5-9a8dffb00916,43053a5a-68ac-562d-8179-906560683723,52.9,71.4,55.2,50.6,52.3,declining_revenue|low_transaction_volume,2025-07-28T00:00:00
7bbe59e2-45ab-5340-b210-d43244c4ec11,2845093a-3515-532c-90da-051c95e9baf8,34.0,37.3,48.9,68.3,41.6,inactive_products|competitor_risk,2025-07-27T00:00:00
9c43b3e5-1728-53b0-9d5e-365518d83e71,d59e6887-1c3d-5cb0-b4ad-0752bfdc39fc,42.6,46.5,23.4,12.0,41.1,product_gap|low_transaction_volume|declining_revenue,2025-07-29T00:00:00
963335f9-8ff9-512b-8a4f-b4bb4ecf70c8,5cb5f68d-dbf0-5c90-9e6c-e13a3464fb8f,53.4,26.1,60.4,56.7,40.0,missed_visits,2025-07-28T00:00:00
8048811f-378a-5187-abeb-3488e56e0f49,7f62d1a5-59cf-5ac5-b66e-24f5660b9686,64.9,77.4,73.7,86.6,74.2,competitor_risk,2025-07-26T00:00:00
8861209f-b9e2-5528-96f3-c8e6e4d22d26,59e64bea-9720-5d74-82b3-275489371706,64.9,60.4,42.7,63.3,56.8,competitor_risk|inactive_products,2025-07-26T00:00:00
67bd1867-101c-5664-8276-1c653dcbbab3,0b27d62a-700a-5cb1-bb9d-2236759107cf,51.1,38.3,41.5,45.6,47.9,low_transaction_volume|missed_visits,2025-07-29T00:00:00
d30d41e0-d134-5e8c-a983-a7a5e41e0f44,9030d083-9e8b-5741-89ea-e73efe284f44,44.1,54.3,33.5,74.5,53.2,high_churn_probability|product_gap,2025-07-26T00:00:00
8e70152e-1586-5993-afdf-f4f21e218c29,a0950ab7-a898-57b4-b91b-7881080f21db,78.2,78.1,59.9,34.3,87.9,declining_revenue|competitor_risk,2025-07-27T00:00:00
3d548cf7-fdde-5a78-90dd-096a18492477,1c24d5fc-99e1-5493-be8a-427bdb5b3396,17.6,0.2,27.2,31.9,4.8,inactive_products|product_gap|low_transaction_volume,2025-07-25T00:00:00
a85f341a-b547-5829-a964-94396f213cc6,47622b2b-94cf-5a83-aaaf-ada5db27d918,43.4,22.7,37.5,54.3,24.7,declining_revenue,2025-07-28T00:00:00
51f50101-d1c6-5be4-a879-8b827fa56a80,1aeb76e0-3ea0-5030-9141-833d646ae88c,96.7,91.3,78.0,73.3,80.3,product_gap|competitor_risk,2025-07-28T00:00:00
0006b0b7-61ca-5a75-aaab-ef4ef298e7f3,fc7c125d-137b-528f-b061-c94c52ed635a,53.2,44.1,52.8,65.0,40.6,product_gap|low_transaction_volume|missed_visits,2025-07-31T00:00:00
712a8e7c-bdc8-5a4c-bbf8-6f171cef4947,e457356b-7004-5bbf-a601-22e251c8ef03,79.1,86.4,80.8,55.2,85.2,low_transaction_volume|competitor_risk,2025-07-25T00:00:00
995b6aeb-4958-5a93-a22d-2de29d1a2d01,a15fd7a2-dad1-5c57-ad76-5079b4ffa2a0,54.0,49.6,57.7,77.6,38.9,missed_visits,2025-08-01T00:00:00
5c894bcb-b714-5d0c-80f7-ca2bd2393a30,25a51d4a-e1c0-5a85-b455-e9da122a752a,20.8,14.6,2.4,38.9,19.9,high_churn_probability|declining_revenue,2025-07-27T00:00:00
5b3708aa-4fad-5e20-a1dd-b19c74885331,02f0b9ea-ad84-56aa-9c8c-57305266ecd3,41.5,58.3,42.2,71.3,27.0,competitor_risk|high_churn_probability,2025-07-31T00:00:00
dac08ba9-30a2-5b16-bf91-e628cedd6436,f54ee33a-a490-55e7-bcfe-bbd885822d51,58.0,44.1,48.8,77.6,62.0,competitor_risk,2025-07-28T00:00:00
4fa4e354-7895-5af9-a18b-86bd8cbe4e65,a0295c91-6ad1-5337-945c-ba96a1de75ec,42.4,41.4,58.6,11.0,38.0,missed_visits|low_transaction_volume|competitor_risk,2025-07-27T00:00:00
1df4cfaa-cfc8-561b-b934-ee8de2029d95,1a07a8b5-5569-5ae0-9183-8238c7a3624c,79.5,54.6,61.5,27.7,65.1,missed_visits|declining_revenue,2025-07-31T00:00:00
c7725d52-420f-5515-a559-cb3b5581c667,00ad044e-c101-5f75-83ea-3c17282f2357,52.5,63.5,73.7,48.4,41.9,low_transaction_volume,2025-07-27T00:00:00
3edbea96-0c02-5300-97d7-b27c64fd06d5,6d2ea7cb-0c6c-5a84-bfcb-5400bb49905d,44.2,52.3,36.3,66.8,25.0,competitor_risk|inactive_products,2025-07-31T00:00:00
fa3c6876-bd84-50ba-964e-4f2baa691c08,0e5d1f56-5d9f-597d-8a6a-a5c2f54f9b49,23.9,13.5,10.3,88.5,16.6,declining_revenue|high_churn_probability|inactive_products,2025-07-31T00:00:00
2cb17162-6a58-54a1-8b8e-506ee3c509c6,c9d9414c-502d-5ffd-ae22-53dde1ebdd96,42.3,14.5,22.7,73.4,37.7,inactive_products|product_gap,2025-08-01T00:00:00
4fcda023-172c-579b-b397-278504abf754,db68976b-4fc7-5d61-8863-f55316a21e8d,33.8,18.8,9.3,17.7,17.5,low_transaction_volume|inactive_products,2025-07-29T00:00:00
0e98bbae-b2e4-52c9-87a1-a5a27f38fd08,8a74f660-2cf7-5258-8ce1-a062e5ca38a4,38.5,42.0,15.0,21.6,40.9,declining_revenue,2025-07-28T00:00:00
5e52daf0-808d-59ec-b875-a553684353a0,20b23860-295a-571c-8e23-0ea9420de1d1,53.0,65.7,67.0,59.0,48.1,missed_visits|declining_revenue,2025-07-31T00:00:00
8add6d4c-5c82-52a7-8023-62af5d035d4b,22c2b1d8-ee67-54d2-8390-614c8f037084,19.0,8.5,8.4,32.5,26.1,inactive_products|low_transaction_volume|competitor_risk,2025-08-01T00:00:00
494a666c-33c7-596a-886f-d594c23b19bc,82cbe6bc-80ae-5d0e-8d88-3c70fc17bf98,99.5,97.6,96.2,48.0,93.8,declining_revenue,2025-07-30T00:00:00
2f2d8a22-1e25-53af-95b8-4edf0b64546d,34b0e718-ed93-5127-b156-10001b69be0a,32.6,44.3,56.7,43.9,28.0,declining_revenue,2025-07-26T00:00:00
0fca0858-2c84-50a5-af69-d1cc1ba5c067,65bbc3be-9507-593f-a9ed-ecede0d4e42f,19.5,4.4,6.0,71.0,20.8,low_transaction_volume|product_gap,2025-08-01T00:00:00
859f8ba7-2fd4-5466-b74a-0f6aad391861,9e549f5f-d393-5446-ab70-ab93a217fa40,18.3,10.9,26.0,35.0,27.6,low_transaction_volume|product_gap,2025-07-25T00:00:00
c98c9c57-b954-5715-803d-5c34340e011c,7a33f302-fa11-51fa-856d-1b51059c5adf,24.0,8.3,3.4,77.3,18.3,missed_visits|product_gap,2025-07-27T00:00:00
de5f4269-850d-5c34-8e02-5c8ab52c64db,622e35cf-534c-5472-84c8-30c4c81eeee1,22.2,16.7,24.7,64.1,5.7,product_gap|high_churn_probability|low_transaction_volume,2025-07-26T00:00:00
a5fbb188-4d07-545d-b767-84c3704cad15,90a9b30a-41c2-5330-9846-9c1782ca7533,31.0,4.3,54.8,37.1,28.9,low_transaction_volume|high_churn_probability|declining_revenue,2025-07-26T00:00:00
e000f95a-adf9-507e-9827-6d43768a269b,ffb805d1-735a-507b-b330-e0ed0ff00214,82.5,65.7,87.8,56.6,70.6,high_churn_probability|product_gap,2025-07-26T00:00:00
262dd120-b7b8-5e73-a24a-fca69d7eadd2,e83975c4-8d1a-59ef-b1c9-8b6f708a57c5,50.7,46.3,33.1,46.4,34.3,competitor_risk|product_gap|high_churn_probability,2025-07-25T00:00:00
1162e015-febe-58c0-a6eb-3e4382b5b1d6,6389de81-1a65-583d-8aad-1b61cd3d1633,72.4,79.3,88.9,49.9,53.2,declining_revenue|low_transaction_volume|high_churn_probability,2025-07-30T00:00:00
adc4f8c2-a368-5bca-8753-54dc0fc69090,e57c321f-fc53-5891-b40b-dcf58abda3d0,51.5,52.6,31.3,16.1,54.0,missed_visits|declining_revenue|inactive_products,2025-07-25T00:00:00
aef28523-14d5-502e-976b-5b8314730272,61ce7965-2288-5ad1-9f5f-360ae913ac36,46.7,49.8,46.2,30.9,37.0,missed_visits,2025-08-01T00:00:00
19942ac6-ff5b-5b0a-ade4-e12a3b828228,65f94da3-6b09-5542-84bf-54c20396615c,83.8,94.5,63.7,46.0,89.4,product_gap,2025-07-25T00:00:00
31212c3a-3582-5739-b491-9327f40b833a,fade118e-67de-5731-a2a0-4cf369881c71,89.2,81.9,95.0,34.2,90.4,declining_revenue,2025-07-25T00:00:00
d7f90953-6846-5ff2-827b-bfdebbf0ecc2,a210020c-0299-55b2-bb3f-5d321d9c87cb,32.2,26.6,12.7,64.0,32.0,high_churn_probability|product_gap,2025-07-25T00:00:00
8e6e53fd-04b5-50a0-a509-5e82958aad76,58766b11-0cfc-518c-86f6-08b0c3f7ec9d,54.3,27.1,42.4,57.3,45.6,competitor_risk,2025-07-27T00:00:00
b0a90413-7b5a-51bb-a138-12cc3c19ed5a,64d98796-d2b6-5548-b268-f5d914bf6c33,63.0,34.4,40.3,77.0,53.5,missed_visits|low_transaction_volume,2025-08-01T00:00:00
c19107db-d049-5aff-934b-8721d18cfed0,5e2b5bab-5781-58c8-bbc1-41a61318601e,95.3,80.2,99.8,43.0,76.7,missed_visits|product_gap|low_transaction_volume,2025-07-29T00:00:00
74a8a80e-9036-5095-af7a-4d944f322db8,4a0e0a11-9486-5b78-a239-2e50e69faa3d,24.9,40.9,3.3,34.4,15.0,missed_visits|competitor_risk|low_transaction_volume,2025-08-01T00:00:00
b5cfa77e-f10f-534e-8670-7ec76fe3e950,26b3c3af-057c-5d11-bc64-b7efa03c7129,36.5,39.4,32.7,51.2,29.2,product_gap,2025-08-01T00:00:00
c4873316-8d11-5ca6-8c57-639a04c4fb8b,3885243f-13b1-50dc-afeb-8bad2dc43d4a,42.8,41.4,34.0,17.8,37.5,low_transaction_volume|missed_visits|product_gap,2025-07-29T00:00:00
947e1bc1-0d21-5c26-b4e2-98255ac64b20,38e5549e-7e95-5b94-98d2-09edb6eee8c3,28.4,8.1,18.4,87.6,14.5,inactive_products|high_churn_probability|missed_visits,2025-07-31T00:00:00
4b483131-62d9-598d-8d69-8524f207ad7d,8c464c73-a955-576d-9730-79fd5da4e450,48.6,21.0,73.4,42.2,35.4,declining_revenue|missed_visits|high_churn_probability,2025-07-31T00:00:00
6025e8ee-3c1a-57e1-ac83-8acb697e8fec,2e54dbf3-50dd-5a0a-a1e4-b371635781b3,43.7,27.4,47.0,52.5,36.5,low_transaction_volume|competitor_risk|missed_visits,2025-07-27T00:00:00
701f9f60-8721-5b3c-be7a-14ad7e01f0ba,494a57ee-31cb-5e3b-818c-8960bc3f745f,46.8,57.0,43.5,53.2,32.8,inactive_products|missed_visits|competitor_risk,2025-07-26T00:00:00
910418db-f32f-5c10-9220-530542cd2240,e9f20e41-fc45-5d13-afc7-d79f102a27ee,25.1,8.1,1.0,66.3,30.9,product_gap|high_churn_probability|competitor_risk,2025-07-25T00:00:00
b5a91f1e-de50-5719-aca5-be9291d5c802,5d75bd0e-343a-5fc7-a2ee-fa9ada2fbfd6,46.4,56.8,64.0,82.5,54.4,product_gap|missed_visits|competitor_risk,2025-08-01T00:00:00
46c4879e-7685-5bb5-837a-555b1e4a9e31,b74b13ca-301b-5f91-9331-c699ee006367,35.9,17.9,48.2,71.2,41.2,product_gap|declining_revenue,2025-07-26T00:00:00
fb933ca8-3e58-5fc0-87a9-7188b5b9ffd6,c22bb6d9-8afc-597b-b171-1eaf1ecb5cac,27.7,9.7,23.4,75.9,27.1,high_churn_probability,2025-07-28T00:00:00
ca17b9b9-5058-59d3-a942-3f71bbda6d01,197ce084-3189-5451-aafa-befe51e6f027,42.5,24.4,25.0,12.2,46.4,product_gap,2025-07-28T00:00:00
8e371753-ec80-549f-8dc8-f00151acbfb5,9ccdde10-07fa-5428-809e-ef951a061c25,33.6,13.7,22.2,12.3,37.3,product_gap|inactive_products|low_transaction_volume,2025-07-28T00:00:00
9757bbfc-0ea5-5405-ae76-1c13af3e2055,97453fb9-40fc-5846-ab3a-1680f9e15a22,41.3,54.0,64.5,48.9,21.9,high_churn_probability,2025-07-31T00:00:00
a80dec41-77e8-5682-a16c-2376b5eb54e3,1ceebcaa-0c54-52fd-a620-4697ab1eb0ec,27.6,42.8,22.9,39.1,27.3,inactive_products|low_transaction_volume,2025-07-31T00:00:00
a8d54161-30cc-5241-8698-f26d1b569c61,7f8ebaa2-73de-5bc3-b462-6ef73f1d60c2,30.9,6.5,42.6,84.6,26.5,inactive_products|declining_revenue|high_churn_probability,2025-07-28T00:00:00
a21a8ba8-c834-56af-a077-f92cd2f4a3d2,a05d68b6-a09e-57eb-b93e-75ff6fd97028,34.9,34.8,48.5,35.1,39.8,declining_revenue,2025-07-26T00:00:00
286d3bd4-c4d6-5490-8b0b-473890ebe767,9d371c5a-f129-5f2c-8e70-514c2f6e27fd,96.1,71.0,76.2,87.6,86.6,declining_revenue|product_gap|inactive_products,2025-07-28T00:00:00
1670f26a-6ed0-574b-b1b4-2cf71779aa87,049b286b-bc98-5072-af5c-7624b16c23a0,81.6,77.4,87.0,19.0,77.9,product_gap,2025-07-25T00:00:00
0d8e736f-f5c6-526c-b037-dbaabd543b21,517ebd4f-8181-50f8-9114-4309197e07c8,42.3,30.5,53.1,75.7,22.9,inactive_products|declining_revenue,2025-08-01T00:00:00
3ae5f253-11f9-5a2e-959f-b7575caa1953,aeaf83bf-b5f4-51fb-9302-4ab9834b87ec,96.8,75.2,82.7,61.1,93.1,inactive_products|low_transaction_volume|declining_revenue,2025-07-31T00:00:00
3f5bf1e0-f145-5dcf-beca-40767a7cd509,11eb90aa-c2ce-5140-854e-7e88706cc9c6,73.4,65.5,48.8,86.9,81.2,inactive_products,2025-07-28T00:00:00
bd9ade31-92da-5ac3-9dab-4e2009e8b1e0,6674b5c4-5676-5e15-a60b-247a96538cee,27.0,9.9,46.5,83.3,26.0,missed_visits,2025-07-26T00:00:00
8e0917ca-2fae-53d1-85fd-7892c30b22af,03c210da-6332-53e2-ba4b-a3e540ef0811,46.6,57.7,68.6,47.7,39.0,inactive_products|low_transaction_volume,2025-07-27T00:00:00
4b2be7cc-13d4-53e7-a51b-140d3827cfba,dc40709a-bb2c-5b80-a5fa-36eff78e585c,94.3,70.1,77.3,15.3,85.1,inactive_products,2025-07-27T00:00:00
4622a9e1-81ac-5628-b65a-e060c6e4ec3c,86b6bd00-fb39-51c8-a057-02c9ad460a8b,33.1,5.7,40.2,60.4,36.9,inactive_products,2025-07-30T00:00:00
2d6699bb-ba94-51e8-8c85-c06e2a5071c7,3cd6d4dd-dfe6-57ac-97fa-80b7c17c19ff,40.1,25.4,43.9,18.9,27.6,high_churn_probability,2025-07-30T00:00:00
bb2972e0-26e0-5849-aa34-fcc62b2fa4a1,8076fa57-7ade-519b-9286-8f0c1ab37ca0,48.9,42.8,60.6,30.9,49.5,product_gap|missed_visits|inactive_products,2025-07-27T00:00:00
fd988227-fc10-5632-808c-007a4e310ec6,1fc68ae9-858e-5a2e-ade5-3501459c5fa6,47.0,37.7,31.1,80.1,55.3,low_transaction_volume,2025-07-29T00:00:00
ece2b951-7c33-5e02-8d68-3c0c7ed92510,f75db975-de2a-5d3f-bbfc-6a7a25a08c3c,60.5,62.9,66.8,82.5,69.7,competitor_risk,2025-07-29T00:00:00
c0be69c1-b268-5a38-8c26-9ed61ee263b3,f2a79b45-bbc2-57e4-9db1-cd80bdc8c4dd,47.9,37.9,44.3,30.8,30.5,low_transaction_volume,2025-07-27T00:00:00
79678202-e3d5-5f5a-8adc-62a9420b593b,b65b3f48-4ed6-560b-93ee-3d05cf7e7fd9,21.8,18.2,43.1,46.3,22.0,low_transaction_volume|inactive_products|competitor_risk,2025-07-31T00:00:00
1761d817-b9e0-5b84-b169-6f759f284273,5949f644-2314-559f-a1a0-f3b0dcdd81c9,24.0,41.6,39.8,31.3,26.4,declining_revenue,2025-07-26T00:00:00
3db8c37c-3b5b-59bd-96a3-1c0bda005374,a6dbc448-70e7-5da2-91ce-e2f6c505fcaa,20.2,8.7,37.3,68.1,5.9,competitor_risk,2025-07-30T00:00:00
4e6fddad-52f6-5f19-809d-6ea215e42283,e397969e-b51f-5445-b386-9d4053ca0e27,31.3,15.9,19.4,59.4,38.6,low_transaction_volume,2025-07-27T00:00:00
ed552ca5-f3f5-5a31-8df5-ec5a4bdbc1bb,11cfc5f5-801d-5aac-bfa3-433c81f8d533,38.3,31.8,56.9,88.0,30.2,product_gap|low_transaction_volume|high_churn_probability,2025-07-29T00:00:00
e6173f6f-0cff-5567-91b3-239f9a87881f,32ed98e8-ef2a-5f24-bc15-fd72abe8c1a1,94.3,73.4,72.2,14.7,82.8,product_gap|high_churn_probability|competitor_risk,2025-07-29T00:00:00
e85c0d4f-48c9-5f09-a08d-7e810b5c5b81,d4433849-0935-586b-93bd-85a86f99d92c,33.8,52.2,38.7,69.9,15.2,competitor_risk|high_churn_probability,2025-07-28T00:00:00
ae2a4653-3ba7-5d6e-8941-c173a1b68a8d,f8ded629-7996-578f-a74a-9a65837b7f7f,35.2,38.7,16.8,81.4,16.4,missed_visits|product_gap,2025-07-30T00:00:00
3d89e187-1412-5e39-8aeb-e814b6d15098,4d4de468-cb98-567b-b2ce-4ed1afd3bb0c,25.4,6.0,16.3,52.4,9.7,product_gap|missed_visits|inactive_products,2025-07-31T00:00:00
f153345b-48ad-510f-9086-1b4c34d10068,96bd0205-8de7-5b6e-960c-0ac3e6a47340,27.5,41.4,44.3,69.8,35.3,product_gap,2025-07-28T00:00:00
45ee6d47-a8fc-5448-9559-001481e6118d,ac14c3e0-6e9d-5a93-baeb-fede0efa3e80,67.1,62.9,63.9,23.2,69.2,competitor_risk|missed_visits,2025-07-25T00:00:00
ad38c2f3-a0f6-505b-9059-6dd674ac63e2,7340d2cf-294d-5438-b864-87ff6efcd726,79.1,91.7,84.3,73.9,60.7,competitor_risk,2025-07-30T00:00:00
b84980f2-731a-523b-be5f-65d3e8686b04,b8e8100e-6957-5617-88e2-db74634aa46c,17.2,17.5,6.9,47.4,3.2,low_transaction_volume,2025-07-25T00:00:00
40851148-3067-5a8d-8e73-04e228312984,8fbb576b-1a4e-5bef-9155-460d2f083b2a,16.6,17.8,20.5,77.7,23.1,high_churn_probability|competitor_risk,2025-07-31T00:00:00
b30c2a9e-b5ec-5ecc-96be-5766dfa2064c,898a0e5b-d908-5060-b440-eb62c6d0ca9d,29.0,13.9,45.7,70.0,33.7,inactive_products,2025-07-29T00:00:00
da788483-b3cc-5912-af27-a1f698975d07,db776e0b-6199-5243-8144-b29b45e62c84,57.5,65.8,41.5,83.6,44.9,competitor_risk,2025-07-25T00:00:00
0e50c7b7-5266-5c23-b4d6-9e9028435583,0d06dc6f-2b54-5b8b-b8fe-2793f7ab5d61,42.1,46.1,51.1,41.5,39.8,low_transaction_volume|missed_visits,2025-07-31T00:00:00
b0f3cbd9-419e-5ad4-a965-4f24a6cd0bd0,75c9c753-3e28-5b1c-b3c8-0bbe0a29a265,48.5,22.5,65.0,62.8,42.1,low_transaction_volume,2025-07-28T00:00:00
b8cefb62-ceb9-5de8-9e44-a45741180231,17e8c798-6f2b-5bba-92a1-25c607fc24c0,38.8,57.3,46.6,86.1,28.5,missed_visits,2025-07-30T00:00:00
406ff979-f549-5d43-9649-2a2dfb71c989,d86636ba-be31-5766-b43b-0687892ff6cd,23.5,28.0,15.7,14.4,5.6,inactive_products,2025-07-26T00:00:00
c7878c9b-7156-587a-b591-ef02cb66ef1c,c68cb08d-2871-5fc3-a244-3ccfff2aba31,81.9,98.3,94.2,17.1,87.4,declining_revenue|inactive_products,2025-07-30T00:00:00
7402f646-ef9c-5469-af15-02f2edd3e398,96472508-05a4-5d4a-873b-67bf7e52702a,87.8,89.6,87.1,19.6,82.5,missed_visits|high_churn_probability,2025-07-26T00:00:00
dc66ce08-c322-59fc-95d6-77220ef25846,3b3c1920-61c4-5477-a3a7-22e3e7db7971,44.4,21.0,52.7,76.6,39.8,high_churn_probability|competitor_risk,2025-07-25T00:00:00
eee95f72-4dd7-530c-bef4-57c6e3acb8f2,98e66a0a-6d0a-5888-84ab-dcd6d48f66fb,53.4,51.5,49.5,70.5,57.7,product_gap|missed_visits,2025-07-30T00:00:00
a737ba51-c590-55ca-a3c4-de2e40d00cef,2c198f0c-837a-59d2-83dd-1cf8ddf69b3e,32.4,28.0,56.0,64.1,31.8,low_transaction_volume|inactive_products,2025-07-30T00:00:00
f1eff721-9232-552b-9ba7-4be204e572d6,16875ba0-6a25-54e3-a9db-2b70cc51a783,67.9,42.1,66.3,16.3,72.0,high_churn_probability|inactive_products|competitor_risk,2025-07-28T00:00:00
c0b0e7ee-20e5-5022-b564-1c398f6ac807,8631bfeb-7f17-528f-87b9-346379c9787c,83.0,95.4,93.3,51.8,71.8,high_churn_probability,2025-08-01T00:00:00
ea9919d8-68f1-5666-9775-6f5da7af2a05,300da2f6-d4f8-5204-9c5a-761aa1569285,37.0,12.4,33.3,17.6,36.9,competitor_risk,2025-07-28T00:00:00
835892a5-aec8-5a8b-ac1e-f0e698d0f915,08f0ac25-f784-5630-80b7-6da94159ddd7,68.9,44.6,77.0,24.4,54.4,low_transaction_volume|competitor_risk|inactive_products,2025-07-26T00:00:00
895bea46-5ecc-5dff-bfe3-e9d146da576e,aa142702-c42a-5872-bb6a-5ca621de8a2a,80.9,66.3,87.8,70.6,74.4,high_churn_probability|missed_visits,2025-07-28T00:00:00
764045b6-f4a1-5d32-a207-450e99aef3f7,074330af-41e2-5e7f-b322-a53fd1c53daa,28.7,9.0,41.0,58.3,34.8,declining_revenue,2025-07-31T00:00:00
fd8a3785-f1bc-5302-98be-cd62630759db,9d8be696-769b-591e-89be-20b0c5158113,32.4,22.1,8.0,62.5,26.2,low_transaction_volume,2025-07-26T00:00:00
5e6479b3-60fc-5511-a76e-d4f050a3b02f,e3cb700e-57bc-504f-817a-82f704e71066,49.8,34.9,65.4,59.3,50.5,competitor_risk|high_churn_probability|product_gap,2025-07-26T00:00:00
89944baa-9015-5798-b344-9e27162b5959,21c29f88-ffb4-5483-8f30-f42b412429a7,47.2,23.9,31.7,75.3,48.1,declining_revenue,2025-07-29T00:00:00
6d69e560-0881-515b-a85d-c1d08d614811,13162149-fc7c-5b4a-9563-600adbd72fa5,49.4,51.8,56.8,44.9,48.1,product_gap,2025-07-29T00:00:00
16ec0492-c6fa-5840-b95f-6aca97d0b5eb,89678d5f-48fc-574c-9eab-cdf011b618fe,42.6,33.7,23.4,82.2,44.7,declining_revenue|product_gap,2025-07-25T00:00:00
8a425e50-2261-5d85-88b9-c3a0c5e7e67b,8b90dfc0-677d-5c4d-be60-e8c712cad697,84.1,81.0,67.3,55.6,89.1,low_transaction_volume|product_gap,2025-08-01T00:00:00
02301982-72c4-5a9b-ab2c-99da4f440e33,333d298a-71af-5e58-a5a9-432703761249,28.4,41.0,24.9,43.3,23.2,high_churn_probability,2025-07-28T00:00:00
bd4c2301-93e4-56a7-8717-7cd0ef188b4c,e6997e74-9b55-51da-92cf-ce4227fbb722,16.5,21.6,25.4,64.3,21.6,product_gap|competitor_risk,2025-07-25T00:00:00
a4d812a3-0f9e-502a-82ca-7a9e0db0702e,206260d0-62ac-5e96-b71d-661b687cf9f7,65.8,36.7,69.6,54.3,53.8,competitor_risk,2025-07-26T00:00:00
a997dd5e-dac4-54cd-9ac7-2392f5cf3128,b9fd3e12-e84f-5895-ab5d-2159a6382303,50.6,51.7,57.9,45.9,43.7,product_gap,2025-07-30T00:00:00
f18b7856-e0aa-53c5-86a7-e086e9f9532d,79480e02-9513-5b1f-8ee8-851a8e95692c,67.2,54.4,53.8,27.6,74.5,product_gap,2025-07-27T00:00:00
8b8e93d6-7557-51ac-ba63-7e1a00ed9b11,03d980bc-471c-5142-8650-f24086a96aa6,51.9,66.0,63.0,41.2,44.4,high_churn_probability|product_gap|declining_revenue,2025-07-27T00:00:00
39449bdb-eb79-5725-8988-e209dc7775e7,d9fdc412-aec7-5a86-add5-f0902e6375fa,95.9,73.0,91.0,16.9,87.5,competitor_risk,2025-07-30T00:00:00
72348448-f029-53b0-b091-140b4396163b,a1928872-fa7b-5f96-b738-9aed6955f45b,84.0,97.4,79.2,28.8,80.7,product_gap|low_transaction_volume|inactive_products,2025-08-01T00:00:00
d1dc8b4f-17d3-5862-b705-96d1c408353c,b9a20119-158b-5370-ad71-3f572943af79,29.4,7.8,45.7,81.6,10.3,missed_visits|high_churn_probability,2025-07-31T00:00:00
827eef62-0a37-5ac4-a90d-7a7a430e0131,be0a5f04-8939-5ab3-a13a-4d517a6f2ebc,50.1,31.5,53.2,48.9,59.9,competitor_risk,2025-07-27T00:00:00
66573d56-165e-5e12-9014-25cbf811a82f,b9412644-c39e-5e32-9d99-df26d67e3d37,45.8,46.0,26.0,14.0,54.2,missed_visits|declining_revenue|competitor_risk,2025-07-25T00:00:00
ca2d9a44-9fed-5016-bc1d-73ef5acac60d,8cd8822e-c0bc-5720-a3b9-fd60f890d81f,53.5,62.6,59.0,78.7,36.6,low_transaction_volume,2025-08-01T00:00:00
8c3ab9f2-e46c-5173-a6c2-57ea838d0202,c59454a2-323f-5844-b174-5f633e24c7cb,35.3,11.2,20.6,38.9,37.1,high_churn_probability,2025-07-25T00:00:00
